,Project.Name,Latitude,Longitude,nearest_hospital,nearest_mall,nearest_mrt,nearest_busstop
1,THE SAIL @ MARINA BAY,1.2812533,103.8528303,Singapore General Hospital,Marina Bay Link Mall,DOWNTOWN MRT STATION,3381
2,MARINA ONE RESIDENCES,1.2773653,103.8536039,Singapore General Hospital,Marina Bay Link Mall,MARINA BAY MRT STATION,3539
3,THE CLIFT,1.2794995,103.8472991,Singapore General Hospital,Square 2,TELOK AYER MRT STATION,3151
4,ONE SHENTON,1.2795839,103.8506561,Singapore General Hospital,Square 2,DOWNTOWN MRT STATION,3071
5,ROBINSON SUITES,1.2810504,103.8498409,Singapore General Hospital,Square 2,TELOK AYER MRT STATION,3041
6,MARINA BAY SUITES,1.2805888,103.8521632,Singapore General Hospital,Marina Bay Link Mall,DOWNTOWN MRT STATION,3059
7,V ON SHENTON,1.2770815,103.8491963,Singapore General Hospital,Square 2,TANJONG PAGAR MRT STATION,3129
8,MARINA BAY RESIDENCES,1.2796864,103.8550598,Singapore General Hospital,Marina Bay Link Mall,DOWNTOWN MRT STATION,3391
9,RIVERWALK APARTMENTS,1.289054,103.848401,Raffles Hospital,Funan,CLARKE QUAY MRT STATION,4251
10,EMERALD GARDEN,1.2818489,103.8466711,Singapore General Hospital,People's Park Complex,TELOK AYER MRT STATION,5189
11,PEOPLE'S PARK COMPLEX,1.2841977,103.8425488,Singapore General Hospital,People's Park Complex,CHINATOWN MRT STATION,5013
12,PEOPLE'S PARK CENTRE,1.285631,103.8440929,Singapore General Hospital,People's Park Centre,CHINATOWN MRT STATION,5022
13,FOOK HAI BUILDING,1.2848439,103.8466763,Singapore General Hospital,Singapore Shopping Centre,TELOK AYER MRT STATION,5199
14,THE RIVERSIDE PIAZZA,1.2886871,103.8438623,Singapore General Hospital,Singapore Shopping Centre,CLARKE QUAY MRT STATION,6189
15,TELOK AYER CONSERVATION AREA,1.281155,103.8478489,Singapore General Hospital,Square 2,TELOK AYER MRT STATION,3041
17,THE PLATINUM,1.284228,103.844735,Singapore General Hospital,People's Park Centre,CHINATOWN MRT STATION,5131
18,SKYSUITES@ANSON,1.2746113,103.8447546,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,3241
19,SPOTTISWOODE 18,1.2754934,103.8375526,Singapore General Hospital,Tanjong Pagar Centre,OUTRAM PARK MRT STATION,10021
20,ALTEZ,1.2745312,103.8442336,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,3222
21,LUMIERE,1.274218,103.846104,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,3218
22,SPOTTISWOODE RESIDENCES,1.2754398,103.8367534,Singapore General Hospital,Tanjong Pagar Centre,OUTRAM PARK MRT STATION,10041
23,CRAIG PLACE,1.278053,103.842299,Singapore General Hospital,Tanjong Pagar Centre,TANJONG PAGAR MRT STATION,5239
24,SKY EVERTON,1.2744257,103.8443157,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,3222
25,76 SHENTON,1.2736383,103.845513,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,3222
26,THE ARRIS,1.2753469,103.8416613,Singapore General Hospital,Tanjong Pagar Centre,TANJONG PAGAR MRT STATION,5519
27,EON SHENTON,1.2739069,103.846216,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,3218
28,SPOTTISWOODE PARK,1.2752989,103.8372683,Singapore General Hospital,Tanjong Pagar Centre,OUTRAM PARK MRT STATION,10041
29,ONZE @ TANJONG PAGAR,1.274839,103.8422137,Singapore General Hospital,Tanjong Pagar Centre,TANJONG PAGAR MRT STATION,5411
30,DORSETT RESIDENCES,1.2799665,103.8401961,Singapore General Hospital,People's Park Complex,OUTRAM PARK MRT STATION,5069
31,SPOTTISWOODE SUITES,1.2760101,103.8374577,Singapore General Hospital,Tanjong Pagar Centre,OUTRAM PARK MRT STATION,10021
32,INTERNATIONAL PLAZA,1.2756998,103.8458098,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,3223
33,WALLICH RESIDENCE,1.277218,103.8456004,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,3223
34,THE BEACON,1.277748946,103.8402259,Singapore General Hospital,Tanjong Pagar Centre,OUTRAM PARK MRT STATION,5521
35,TANJONG PAGAR COMPLEX,1.2780299,103.8404472,Singapore General Hospital,Tanjong Pagar Centre,OUTRAM PARK MRT STATION,5239
36,EVERTON COURT,1.2756464,103.8386912,Singapore General Hospital,Tanjong Pagar Centre,OUTRAM PARK MRT STATION,10021
37,THYE SHAN MANSION,1.284064,103.843622,Singapore General Hospital,People's Park Complex,CHINATOWN MRT STATION,5013
38,STIRLING RESIDENCES,1.2916794,103.80484,Alexandra Hospital,Anchorpoint,QUEENSTOWN MRT STATION,11551
39,THE ANCHORAGE,1.289614529,103.8051138,Alexandra Hospital,Anchorpoint,QUEENSTOWN MRT STATION,11521
40,COMMONWEALTH TOWERS,1.2960092,103.80554,Alexandra Hospital,Anchorpoint,QUEENSTOWN MRT STATION,11149
41,ALEX RESIDENCES,1.2904764,103.8189484,Gleneagles Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10271
42,RIVIERE,1.2914187,103.8350032,Singapore General Hospital,Great World City,FORT CANNING MRT STATION,6129
43,AVENUE SOUTH RESIDENCE,1.2764686,103.8301721,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10399
44,HIGHLINE RESIDENCES,1.2851558,103.8298123,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10151
45,TIONG BAHRU ESTATE,1.2869369,103.8285754,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10151
46,QUEENS PEAK,1.2948546,103.8067587,Alexandra Hospital,Anchorpoint,QUEENSTOWN MRT STATION,11149
47,THE CREST,1.2927545,103.8198733,Gleneagles Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10269
48,THE REGENCY AT TIONG BAHRU,1.2821842,103.8301556,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10121
49,RIVER PLACE,1.2897489,103.8408852,Singapore General Hospital,Singapore Shopping Centre,FORT CANNING MRT STATION,6169
50,THE METROPOLITAN CONDOMINIUM,1.2907192,103.8164014,Alexandra Hospital,Anchorpoint,REDHILL MRT STATION,10209
51,CENTRAL GREEN CONDOMINIUM,1.2853429,103.8277045,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10169
52,QUEENS,1.293842545,103.8081345,Alexandra Hospital,Anchorpoint,QUEENSTOWN MRT STATION,11139
53,ECHELON,1.290479,103.817921,Gleneagles Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10271
54,ALEXIS,1.291297,103.807352,Alexandra Hospital,Anchorpoint,QUEENSTOWN MRT STATION,11531
55,ARTRA,1.2902635,103.8171882,Alexandra Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10209
56,PRINCIPAL GARDEN,1.2927757,103.8220007,Gleneagles Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10269
57,MARGARET VILLE,1.2994541,103.8028894,Alexandra Hospital,Anchorpoint,COMMONWEALTH MRT STATION,11471
58,MERAPRIME,1.2870709,103.8277503,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10169
59,HARVEST MANSIONS,1.2897393,103.8318842,Singapore General Hospital,Great World City,TIONG BAHRU MRT STATION,10229
60,ASCENTIA SKY,1.2908119,103.8170081,Alexandra Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10271
61,TANGLIN VIEW,1.2921069,103.8179565,Gleneagles Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10279
62,KAI FOOK MANSION,1.2852782,103.829291,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10151
63,EMERALD PARK,1.289795907,103.8301097,Singapore General Hospital,Great World City,TIONG BAHRU MRT STATION,10221
64,DOMAIN 21,1.2917798,103.8255674,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10519
65,TWIN REGENCY,1.284725,103.8286243,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10151
66,REGENCY SUITES,1.2843806,103.8292793,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10151
67,ALESSANDREA,1.2905839,103.8224665,Singapore General Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10241
68,QUEENSWAY TOWER,1.2873168,103.8033576,Alexandra Hospital,Queensway Shopping Centre,QUEENSTOWN MRT STATION,11519
69,YONG SIAK VIEW,1.2830484,103.8300626,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,10121
70,ENG HOON MANSIONS,1.2836095,103.8344418,Singapore General Hospital,Tiong Bahru Plaza,OUTRAM PARK MRT STATION,6051
71,CLYDESVIEW,1.2942781,103.818094,Gleneagles Hospital,Tiong Bahru Plaza,REDHILL MRT STATION,10329
72,CARIBBEAN AT KEPPEL BAY,1.2674851,103.8161036,Singapore General Hospital,Tiong Bahru Plaza,HARBOURFRONT MRT STATION,14131
73,HARBOURLIGHTS,1.2663231,103.8227392,Singapore General Hospital,Tiong Bahru Plaza,HARBOURFRONT MRT STATION,14119
74,THE OCEANFRONT @ SENTOSA COVE,1.2440362,103.8427331,Singapore General Hospital,100 AM,HARBOURFRONT MRT STATION,14519
75,HARBOUR VIEW TOWERS,1.2718495,103.8087823,Alexandra Hospital,Alexandra Central,TELOK BLANGAH MRT STATION,14169
76,MARINA COLLECTION,1.2440927,103.8397807,Singapore General Hospital,100 AM,HARBOURFRONT MRT STATION,14519
77,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,1.2462857,103.8423347,Singapore General Hospital,100 AM,HARBOURFRONT MRT STATION,14519
78,REFLECTIONS AT KEPPEL BAY,1.2668201,103.8106976,Alexandra Hospital,Alexandra Central,TELOK BLANGAH MRT STATION,14151
79,SKYLINE RESIDENCES,1.2713549,103.808005,Alexandra Hospital,Alexandra Central,TELOK BLANGAH MRT STATION,14169
80,SEASCAPE,1.239395,103.837503,Singapore General Hospital,100 AM,HARBOURFRONT MRT STATION,14519
81,CAPE ROYALE,1.2413532,103.8401485,Singapore General Hospital,100 AM,HARBOURFRONT MRT STATION,14519
82,HARBOUR SUITES,1.2723608,103.8276457,Singapore General Hospital,Tiong Bahru Plaza,HARBOURFRONT MRT STATION,14239
83,THE INTERLACE,1.2818766,103.8029252,Alexandra Hospital,Queensway Shopping Centre,LABRADOR PARK MRT STATION,14369
84,THE PEARL @ MOUNT FABER,1.2706934,103.8245499,Singapore General Hospital,Tiong Bahru Plaza,HARBOURFRONT MRT STATION,14021
85,CORALS AT KEPPEL BAY,1.2655778,103.8165701,Singapore General Hospital,Tiong Bahru Plaza,HARBOURFRONT MRT STATION,14131
86,TERESA VILLE,1.2764724,103.824224,Singapore General Hospital,Tiong Bahru Plaza,TIONG BAHRU MRT STATION,14039
87,THE COAST AT SENTOSA COVE,1.2457088,103.843791,Singapore General Hospital,100 AM,HARBOURFRONT MRT STATION,14519
88,THE AZURE,1.2516101,103.8480291,Singapore General Hospital,100 AM,MARINA SOUTH PIER MRT STATION,3421
89,THE BERTH BY THE COVE,1.2499045,103.8464074,Singapore General Hospital,100 AM,TANJONG PAGAR MRT STATION,14519
90,MOUNT FABER LODGE,1.2688561,103.8243159,Singapore General Hospital,Tiong Bahru Plaza,HARBOURFRONT MRT STATION,14019
91,THE FORESTA @ MOUNT FABER,1.2704484,103.8138523,Alexandra Hospital,Alexandra Central,TELOK BLANGAH MRT STATION,14159
92,TURQUOISE,1.242368,103.836403,Singapore General Hospital,100 AM,HARBOURFRONT MRT STATION,14519
93,SEVEN PALMS SENTOSA COVE,1.2398652,103.8311367,Singapore General Hospital,100 AM,HARBOURFRONT MRT STATION,14519
94,PERMAI RESIDENCES,1.2720139,103.8272739,Singapore General Hospital,Tiong Bahru Plaza,HARBOURFRONT MRT STATION,14239
95,TELOK BLANGAH HOUSE,1.2661746,103.8233469,Singapore General Hospital,Tiong Bahru Plaza,HARBOURFRONT MRT STATION,14119
96,BOTANNIA,1.3181922,103.7543317,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20031
97,PASIR PANJANG COURT,1.291924,103.772359,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,16079
98,HERITAGE VIEW,1.304569,103.783461,National University Hospital,Rochester Mall,ONE-NORTH MRT STATION,19089
99,BLUE HORIZON,1.2971897,103.7651751,National University Hospital,West Coast Plaza,CLEMENTI MRT STATION,17369
100,ONE-NORTH RESIDENCES,1.3024093,103.7899322,National University Hospital,Rochester Mall,ONE-NORTH MRT STATION,18151
101,TWIN VEW,1.3196317,103.7525081,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20031
102,THE ROCHESTER RESIDENCES,1.3055942,103.7881836,National University Hospital,Rochester Mall,BUONA VISTA MRT STATION,18141
103,NORMANTON PARK,1.2882768,103.7923127,Alexandra Hospital,Queensway Shopping Centre,KENT RIDGE MRT STATION,18041
104,WHISTLER GRAND,1.319422,103.7537108,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20031
105,PARC RIVIERA,1.320699,103.7530877,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20031
106,KENT RIDGE HILL RESIDENCES,1.2811659,103.789735,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15091
107,LUXE VILLE,1.2891171,103.7770064,National University Hospital,West Coast Plaza,HAW PAR VILLA MRT STATION,16049
108,DOVER PARKVIEW,1.3057328,103.7838192,National University Hospital,Rochester Mall,BUONA VISTA MRT STATION,19011
109,BANYAN CONDOMINIUM,1.2780251,103.7883466,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15219
110,WESTPOINT CONDOMINIUM,1.2767176,103.7934625,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15199
111,THE CLEMENT CANOPY,1.3072306,103.7686049,National University Hospital,West Coast Plaza,CLEMENTI MRT STATION,16991
112,HUNDRED TREES,1.3148265,103.7588911,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20021
113,REGENT PARK,1.317532227,103.7612475,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,17059
114,FABER CREST,1.32357,103.756686,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,28011
115,THE PARC CONDOMINIUM,1.310173,103.7617538,National University Hospital,321 Clementi,CLEMENTI MRT STATION,17071
116,THE TRILINQ,1.3187273,103.7616745,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20101
117,THE CASSANDRA,1.2762372,103.7929985,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15199
118,THE VISION,1.2982948,103.7648522,National University Hospital,West Coast Plaza,CLEMENTI MRT STATION,17369
119,CARABELLE,1.317568631,103.7570386,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20029
120,WESTCOVE CONDOMINIUM,1.2979599,103.7664936,National University Hospital,West Coast Plaza,CLEMENTI MRT STATION,17381
121,THE GRANDHILL,1.2815532,103.7849964,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16201
122,THE ESTRELLA,1.2895531,103.7766869,National University Hospital,West Coast Plaza,HAW PAR VILLA MRT STATION,16041
123,VIVA VISTA,1.2797197,103.7859924,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15229
124,VENTANA,1.2825329,103.7847881,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16209
125,BAYVILLE CONDOMINIUM,1.281208,103.787813,National University Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15071
126,THE PEAK@BALMEG,1.283174,103.7833739,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16019
127,MONTEREY PARK CONDOMINIUM,1.3162622,103.7530385,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20139
128,THE ORIENT,1.2810814,103.7838098,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16201
129,VARSITY PARK CONDOMINIUM,1.2944892,103.7674126,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,17019
130,ISLAND VIEW,1.279649191,103.791561,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15209
131,WEST SEA GARDENS,1.2750187,103.794813,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15199
132,FRAGRANCE COURT,1.2771928,103.7930165,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15199
133,PALM MANSIONS,1.289223,103.776328,National University Hospital,West Coast Plaza,HAW PAR VILLA MRT STATION,16041
134,SEAHILL,1.2989437,103.7642323,National University Hospital,West Coast Plaza,CLEMENTI MRT STATION,17369
135,THE SORRENTO,1.2956758,103.7661813,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,17309
136,WEST BAY CONDOMINIUM,1.2991307,103.7659674,National University Hospital,West Coast Plaza,CLEMENTI MRT STATION,17381
137,PARC IMPERIAL,1.2815476,103.7834153,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16209
138,THE SPECTRUM,1.291401,103.768864,National University Hospital,West Coast Plaza,HAW PAR VILLA MRT STATION,16081
139,GOLD COAST CONDOMINIUM,1.290403,103.774851,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,16051
140,SEASUITES,1.282408,103.7832049,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16019
141,CLEMENTIWOODS CONDOMINIUM,1.2960833,103.7675743,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,17021
142,NEWEST,1.3157593,103.7577519,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20021
143,LE HILL CONDOMINIUM,1.283092,103.785123,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16209
144,HORIZON RESIDENCES,1.281957,103.7844432,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16209
145,PASIR VIEW PARK,1.2781211,103.7871639,National University Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15219
146,THE VERANDAH RESIDENCES,1.2795865,103.7852017,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15221
147,D' HILLSIDE LOFT,1.2813296,103.7854751,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16201
148,BUONA VISTA GARDENS,1.2821713,103.7870302,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15071
149,VILLA DE WEST,1.2908191,103.7723792,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,16069
150,BUONA LODGE,1.2817204,103.786855,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15071
151,MENDON SPRING,1.2782762,103.7874314,National University Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15219
152,WEST PARK REGENCY,1.289711,103.776509,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,16041
153,BIJOU,1.2768838,103.7915573,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15209
154,THE MAYLEA,1.2806563,103.7853635,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15221
155,WHITEHAVEN,1.289922885,103.7775856,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,16049
156,ICON @ PASIR PANJANG,1.2792617,103.7859138,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15229
157,VILLAGE @ PASIR PANJANG,1.2911302,103.7701665,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,17299
158,MURANO,1.295178084,103.7759459,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,18311
159,WATERFRONT @ FABER,1.3232117,103.754716,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20039
160,PALM GREEN,1.291737785,103.7699354,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,16089
161,24 ONE RESIDENCES,1.2803281,103.7847565,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15221
162,HARBOUR VIEW GARDENS,1.2790729,103.785045,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15221
163,THE INFINITI,1.3192796,103.7554499,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20031
164,TREASURE PLACE,1.2804993,103.789033,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15071
165,THE STELLAR,1.2936601,103.7678261,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,17019
166,CRYSTAL HEIGHTS,1.281564,103.785709,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,15071
167,LIIV RESIDENCES,1.2885848,103.7766584,National University Hospital,West Coast Plaza,HAW PAR VILLA MRT STATION,16041
168,RIA APARTMENTS,1.276608,103.7925813,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15191
169,PASIR PANJANG LODGE,1.291343,103.772405,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,16069
170,THE ESTIVA,1.2879295,103.7783472,National University Hospital,West Coast Plaza,HAW PAR VILLA MRT STATION,16031
171,THE FOLIAGE,1.2906024,103.7741254,National University Hospital,West Coast Plaza,KENT RIDGE MRT STATION,16051
172,FABER HILLS,1.320574,103.756543,Jurong Community Hospital,The Clementi Mall,CLEMENTI MRT STATION,20039
173,PASIR PANJANG GARDENS,1.3084342,103.7622947,National University Hospital,321 Clementi,CLEMENTI MRT STATION,17069
174,KENTVIEW PARK,1.2822413,103.7854094,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16209
175,JUBILEE RESIDENCE,1.289461,103.775388,National University Hospital,West Coast Plaza,HAW PAR VILLA MRT STATION,16059
176,LANDRIDGE CONDOMINIUM,1.2786182,103.7864224,National University Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15211
177,WEST-N,1.282198,103.783491,National University Hospital,Queensway Shopping Centre,HAW PAR VILLA MRT STATION,16209
178,SARHAD VILLE,1.2804273,103.7884621,National University Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15079
179,THE PEAK,1.281216,103.793015,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15209
180,PALISADES,1.287101,103.780099,National University Hospital,Rochester Mall,HAW PAR VILLA MRT STATION,16021
181,PEPYS HILL CONDOMINIUM,1.2775724,103.7938976,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15199
182,GLORIA MANSION,1.2869042,103.7803855,National University Hospital,Rochester Mall,HAW PAR VILLA MRT STATION,16029
183,PARC REGENCY,1.29604,103.778943,National University Hospital,Rochester Mall,KENT RIDGE MRT STATION,18319
185,FLYNN PARK,1.2780111,103.7931908,Alexandra Hospital,Queensway Shopping Centre,PASIR PANJANG MRT STATION,15199
186,HIGH STREET CENTRE,1.2900089,103.8494332,Raffles Hospital,Funan,CLARKE QUAY MRT STATION,4251
187,EDEN RESIDENCES CAPITOL,1.292899,103.851093,Raffles Hospital,Capitol Piazza,CITY HALL MRT STATION,4167
188,DUO RESIDENCES,1.3000973,103.8584355,Raffles Hospital,Duo,BUGIS MRT STATION,1549
189,SUNSHINE PLAZA,1.309277584,103.850183,KK Women's and Children's Hospital,Tekka Centre,LITTLE INDIA MRT STATION,40109
190,SOUTHBANK,1.30618828,103.8643704,Raffles Hospital,Aperia,LAVENDER MRT STATION,1341
191,CITY GATE,1.3022509,103.8625132,Raffles Hospital,Duo,NICOLL HIGHWAY MRT STATION,1411
192,THE BENCOOLEN,1.3016941,103.8532843,Raffles Hospital,Sim Lim Square,ROCHOR MRT STATION,7517
193,LIANG SEAH PLACE,1.2978582,103.856479,Raffles Hospital,Bugis Cube,BUGIS MRT STATION,1621
194,LIANG SEAH COURT,1.2984385,103.8560573,Raffles Hospital,Bugis Cube,BUGIS MRT STATION,1039
195,CONCOURSE SKYLINE,1.301066,103.8625531,Raffles Hospital,Duo,NICOLL HIGHWAY MRT STATION,80161
196,THE PLAZA,1.2999483,103.8605979,Raffles Hospital,Duo,NICOLL HIGHWAY MRT STATION,1529
197,SOUTH BEACH RESIDENCES,1.2942557,103.856104,Raffles Hospital,The South Beach,ESPLANADE MRT STATION,1619
199,SULTAN GATE PLACE,1.3017078,103.8606439,Raffles Hospital,Duo,NICOLL HIGHWAY MRT STATION,1521
200,TEXTILE CENTRE,1.3036547,103.8612408,Raffles Hospital,Duo,LAVENDER MRT STATION,1231
201,HERITAGE PLACE,1.298574,103.856415,Raffles Hospital,Bugis Cube,BUGIS MRT STATION,1541
202,BURLINGTON SQUARE,1.3023144,103.8525688,Raffles Hospital,Sim Lim Square,ROCHOR MRT STATION,7517
203,KENG SOON BLDG,1.3015986,103.8514952,Raffles Hospital,Sunshine Plaza,ROCHOR MRT STATION,7518
204,THE 101,1.2977682,103.8570022,Raffles Hospital,Bugis Cube,BUGIS MRT STATION,1629
205,SIN THAI HIN BUILDING,1.3019293,103.8516679,Raffles Hospital,Sim Lim Square,ROCHOR MRT STATION,7517
206,TALIB CENTRE,1.2964499,103.8549138,Raffles Hospital,Bugis Cube,ESPLANADE MRT STATION,1029
207,TANQUEELAN SUITES,1.298299,103.85669,Raffles Hospital,Bugis Cube,BUGIS MRT STATION,1541
208,BENCOOLEN HOUSE,1.2988155,103.8498808,Raffles Hospital,Sunshine Plaza,BENCOOLEN MRT STATION,4019
209,AN CHUAN BUILDING,1.296256,103.8553336,Raffles Hospital,The South Beach,ESPLANADE MRT STATION,1631
210,GOLDEN MILE COMPLEX,1.299508,103.8592765,Raffles Hospital,Duo,BUGIS MRT STATION,1519
211,WATERLOO VIEW,1.3007577,103.8527011,Raffles Hospital,Sunshine Plaza,BENCOOLEN MRT STATION,7518
212,TAN SEE SWAN & SONS BUILDING,1.2840804,103.8430136,Singapore General Hospital,People's Park Complex,CHINATOWN MRT STATION,5013
213,KAMPONG GLAM CONSERVATION AREA,1.3015584,103.8623134,Raffles Hospital,Duo,NICOLL HIGHWAY MRT STATION,1411
214,TYRWHITT 139,1.3115682,103.8600386,Farrer Park Hospital,City Square Mall,BENDEMEER MRT STATION,7329
215,SUITES 123,1.3151489,103.8533729,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,50261
216,CITYLIGHTS,1.3090266,103.8631265,Raffles Hospital,Aperia,LAVENDER MRT STATION,7371
217,OXFORD SUITES,1.3156788,103.8525248,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,50301
218,STURDEE RESIDENCES,1.3129796,103.859027,Farrer Park Hospital,City Square Mall,BENDEMEER MRT STATION,7329
219,KERRISDALE,1.313443553,103.8579481,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,7221
220,STUDIOS @ MARNE,1.3129469,103.8569232,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,7211
221,28 RC SUITES,1.3098618,103.8529436,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,7111
222,RANGOON 88,1.3142276,103.8542311,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,50251
223,CITY SQUARE RESIDENCES,1.3108008,103.8571769,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,7231
224,JOOL SUITES,1.315246,103.8550069,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,50261
225,RESIDENCES @ SOMME,1.3116164,103.8587065,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,7319
226,8 FARRER SUITES,1.3148569,103.85474,Farrer Park Hospital,City Square Mall,FARRER PARK MRT STATION,50261
